is_doh,bytes_rev,bytes,packets,packets_rev,packets_sum,bytes_ration,num_pkts_ration,time,av_pkt_size,av_pkt_size_rev,var_pkt_size,var_pkt_size_rev,median_pkt_size,median_pkt_size_rev,mindelay,avgdelay,maxdelay,bursts,fazzel,time_leap_ration,autocorr,stSum,ndSum,rdSum
True,14501,10215,121,104,225,0.7044341769533136,1.1634615384615383,3055.46,84.42148760330579,139.43269230769232,275.4048442906574,11897.940828402368,56.0,39.0,0.512,2907.812275862069,3320.9,0,0,1.0,0.3704026480715983,0,1,3
True,301,121,3,4,7,0.4019933554817276,0.75,20949.854,40.333333333333336,75.25,0.0,72.25,1.0,64.5,15946.083999999999,18445.4,20944.716,0,0,1.0,0.0,0,0,0
True,7576,1520,9,13,22,0.2006335797254488,0.6923076923076923,137.084,168.88888888888889,582.7692307692307,32996.22222222222,238315.75,371.0,1194.0,34.288000000000004,61.065,89.838,0,0,1.0,0.0,-1,0,-4
True,4981,1297,8,9,17,0.2603894800240916,0.8888888888888888,108.848,162.125,553.4444444444445,35826.0,324101.76,376.0,1380.0,3.01,31.000857142857146,55.61,0,0,1.0,0.0,0,-1,-1
True,1036,975,6,4,10,0.9411196911196912,1.5,439.9980000000001,162.5,259.0,69432.25,39204.0,327.5,410.0,38.57,140.424,195.19400000000002,0,0,1.0,0.0,0,0,0
True,1032,947,7,5,12,0.9176356589147286,1.4,3728.62,135.28571428571428,206.4,69432.25,39204.0,327.5,410.0,36.99800000000001,50.94733333333334,61.762,0,0,1.0,0.0,0,0,0
True,5333,1249,10,7,17,0.2342021376336021,1.4285714285714286,1189.274,124.9,761.8571428571429,0.0,22.6875,517.0,1208.0,36.614,36.652,36.684,0,0,1.0,0.0,0,0,0
True,6835,1238,10,10,20,0.18112655449890272,1.0,170.57,123.8,683.5,3506.0,209485.67346938766,180.0,1122.0,32.178000000000004,83.45466666666667,140.44799999999998,0,0,0.5,0.0,-1,0,-1
True,6305,1535,14,13,27,0.2434575733544805,1.0769230769230769,110.024,109.64285714285714,485.0,35057.1875,354240.2857142857,143.5,1144.0,15.336,34.8302,57.82,0,0,1.0,0.0,-1,0,-2
True,480,80,1,6,7,0.16666666666666666,0.16666666666666666,31812.61,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0
True,331,377,5,5,10,1.1389728096676737,1.0,34.534,75.4,66.2,56.25,0.0,38.5,31.0,0.052000000000000005,3.427,6.8020000000000005,0,0,1.0,0.0,0,0,0
True,6596,1502,12,14,26,0.22771376591873865,0.8571428571428571,507.3299999999999,125.16666666666669,471.1428571428572,30628.64,319684.0,99.0,709.0,15.66,69.759,490.81,0,0,1.0,0.0,-2,3,-2
True,425,361,3,4,7,0.8494117647058823,0.75,40.964,120.33333333333331,106.25,5550.25,7482.25,120.5,132.5,0.002,19.936000000000003,40.124,0,0,1.0,0.0,0,0,0
True,480,403,4,5,9,0.8395833333333333,0.8,22749.734,100.75,96.0,6950.0,7744.0,46.0,134.0,22709.828,22721.061,22739.83400000001,0,0,1.0,0.0,0,0,0
True,1046,447,5,8,13,0.4273422562141491,0.625,29312.464,89.4,130.75,8011.555555555556,32456.16,39.0,39.0,29269.87200000001,29279.974,29295.0,0,0,1.0,0.04064342319979468,2,-1,-1
True,1047,445,5,8,13,0.4250238777459408,0.625,21759.048000000006,89.0,130.875,7846.222222222223,32441.6,39.0,39.0,21647.432,21687.61657142857,21743.38,0,0,1.0,0.03455419051012913,2,-1,-1
True,6742,1749,14,15,29,0.25941857015722336,0.9333333333333332,173.446,124.92857142857143,449.46666666666664,30609.840000000004,251152.4691358025,99.0,382.0,19.988,48.47507692307693,137.14,0,0,1.0,0.6033086395086216,-2,1,-3
True,6224,1467,12,12,24,0.2357005141388175,1.0,104.732,122.25,518.6666666666666,35057.1875,296913.33333333326,143.5,1212.0,15.478,31.773111111111106,58.31,0,0,1.0,0.0,-1,0,-1
True,112,216,4,2,6,1.9285714285714288,2.0,52.19,54.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0
True,6305,1535,14,13,27,0.2434575733544805,1.0769230769230769,110.85,109.64285714285714,485.0,35057.1875,354240.2857142857,143.5,1144.0,17.778,37.0438,59.698,0,0,1.0,0.0,-1,0,-2
